Tag;"Tag im
Monat";Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
132;12;5;0,00;4181,90;6731,25;20,41;77,03;1,59;17,42;16,41;15,36;14,37;13,42;17,30;27,37;11,82;0,20;;;;;;;
133;13;5;0,00;3639,86;6730,20;15,31;79,73;3,79;17,23;16,75;15,87;14,89;14,02;17,32;19,38;10,06;0,20;;;;;;;
134;14;5;0,00;4019,80;7509,04;13,94;71,04;3,63;15,88;15,87;15,36;14,67;14,13;16,11;19,81;7,11;0,20;;;;;;;
135;15;5;0,00;3676,21;7050,93;14,23;70,38;2,64;15,87;15,68;15,10;14,43;14,01;16,10;20,60;7,38;0,20;;;;;;;
136;16;5;0,00;3988,18;7496,65;12,72;70,14;2,56;15,91;15,76;15,18;14,47;14,06;16,14;17,83;6,75;0,20;;;;;;;
137;17;5;0,00;3811,86;6747,38;14,16;76,77;1,75;16,09;15,81;15,19;14,46;14,09;16,30;20,94;6,16;0,00;;;;;;;
138;18;5;0,00;4039,56;7024,95;15,46;75,85;1,33;16,84;16,33;15,55;14,70;14,24;17,04;21,62;7,06;0,00;;;;;;;
139;19;5;0,00;4025,05;7057,83;15,54;77,18;2,36;17,38;16,90;16,06;15,11;14,58;17,64;21,75;8,17;0,00;;;;;;;
140;20;5;0,00;2547,00;4499,76;12,40;87,44;2,56;16,98;16,94;16,34;15,46;15,00;17,33;16,77;8,82;0,00;;;;;;;
141;21;5;1,10;2009,99;3712,29;10,75;82,38;3,29;16,21;16,47;16,06;15,32;15,02;16,64;13,47;8,59;0,00;;;;;;;
142;22;5;0,00;2360,44;4677,87;9,10;79,42;4,55;14,48;15,19;15,11;14,66;14,64;15,03;12,38;5,60;0,00;;;;;;;
143;23;5;0,00;3943,06;6820,36;9,49;79,91;3,44;14,36;14,66;14,44;14,00;14,09;14,89;15,17;3,97;0,00;;;;;;;
144;24;5;2,20;1421,45;2619,24;11,22;88,38;2,78;14,73;15,04;14,73;14,14;14,07;15,19;14,38;8,72;1,59;;;;;;;
145;25;5;5,70;1416,51;2294,04;11,76;99,28;2,50;14,74;14,93;14,60;14,04;13,99;15,17;14,30;9,87;0,20;;;;;;;
146;26;5;0,00;2185,45;3854,64;13,75;92,12;2,46;15,42;15,23;14,73;14,10;13,95;15,70;17,50;10,46;1,39;;;;;;;
147;27;5;4,20;2676,55;4853,28;14,34;91,31;1,78;16,39;15,92;15,24;14,46;14,14;16,62;19,07;9,96;0,60;;;;;;;
148;28;5;1,50;2998,06;4773,85;14,87;93,22;1,60;16,51;16,16;15,56;14,79;14,41;16,78;21,13;9,54;14,53;;;;;;;
149;29;5;0,00;2934,11;4871,69;16,31;96,89;2,29;18,16;17,36;16,41;15,41;14,80;18,30;21,79;11,44;1,99;;;;;;;
150;30;5;5,10;1858,26;2944,35;16,06;98,28;3,11;18,31;17,84;17,05;16,07;15,39;18,47;18,61;13,75;0,20;;;;;;;
151;31;5;0,30;3514,81;5825,20;17,74;93,57;1,66;19,46;18,44;17,37;16,34;15,60;19,69;23,30;14,96;3,18;;;;;;;
152;1;6;3,60;1197,91;2285,26;14,68;97,34;2,80;18,51;18,52;17,93;16,99;16,25;18,90;17,02;12,41;3,60;;;;;;;
153;2;6;9,80;1486,52;3359,39;15,28;93,80;1,97;16,95;17,13;16,87;16,30;15,96;17,27;19,92;10,13;9,80;;;;;;;
154;3;6;0,10;3485,26;6568,68;17,57;86,20;2,72;18,63;17,90;17,08;16,29;15,79;19,01;21,75;14,57;0,10;;;;;;;
155;4;6;0,00;3513,07;6613,34;16,50;83,39;3,08;18,98;18,45;17,65;16,71;16,04;19,12;21,04;11,94;0;;;;;;;
156;5;6;0,00;3306,84;5517,28;16,61;88,60;2,78;18,50;18,15;17,58;16,77;16,19;18,59;22,55;11,34;0;;;;;;;
157;6;6;0,10;2406,24;4659,26;19,40;90,82;2,07;19,23;18,66;17,88;16,98;16,32;19,39;25,00;13,19;0,1;;;;;;;
158;7;6;4,00;2076,33;3638,31;18,56;95,84;2,27;19,56;19,09;18,31;17,39;16,67;19,79;23,71;15,11;4;;;;;;;
159;8;6;0,00;3482,06;6499,92;16,39;84,28;3,65;19,21;18,88;18,29;17,46;16,85;19,32;19,45;13,04;0;;;;;;;
