PaNr;Reihe;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;N-DÜNGUNG
20;1;1;35;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;40;0.5;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;45;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;50;0;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;55;1;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;60;0;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;65;0;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;70;0;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;75;0;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;80;0;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;85;0;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;90;4;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;95;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;100;1;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;105;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;110;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;115;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;1;120;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;5;0;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;10;0;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;15;0.5;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;20;4;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;25;1;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;30;2;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;35;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;40;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;45;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;50;1;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;55;;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;60;0;15.05.1995;60;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;65;;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;70;0;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;75;0;15.05.1995;75;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;80;1;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;85;0.5;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;90;0;15.05.1995;90;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;95;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;100;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;105;0;15.05.1995;105;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;110;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;115;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;1;2;120;0;15.05.1995;120;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;5;0;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;10;1;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;15;0;15.05.1995;15;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;20;0;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;25;1.5;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;30;3;15.05.1995;30;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;35;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
20;2;1;40;0;15.05.1995;45;20;1;Agrar;WWeizen;Senf;Pflug;N normal
