Datum;Variante;Rohr;Blickrichtung;Tiefe;Bonitur;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG
26.04.1995;55;2;1;5;0;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;10;0;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;15;1.5;15;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;20;2;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;25;0.5;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;30;2;30;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;35;1;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;40;0;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;45;0;45;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;50;0;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;55;0;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;60;0;60;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;65;0;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;70;0;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;75;0;75;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;80;0;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;85;0;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;90;0;90;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;95;0;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
26.04.1995;55;2;1;100;0;105;55;3;Agrar;WWeizen;Senf;Pflug;N reduziert;;;;;;;
