time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
3,21,2,1,2,0,1,0,0.034999999999999996,3.966657323232338e-09,,,,,,,1,,-0.0013654202960972548,0.002464561528332497,-0.05472314424806734,44,45,0.1,,,0.0001401689298628721,0.0023382580359966928,,0.0101681,0.15803499999999998,0.121565,-0.124543,-0.232314,19.4661,1.12154,0.124473
3,22,2,1,2,0,1,0,0.03749999999999999,3.966657323232317e-09,,,,,,,1,,-0.0018446700419755436,0.0023927787986135584,-0.0571757279715699,45,46,0.1,,,0.0001401689298628721,0.002338258035996706,,0.007268999999999999,0.15551199999999998,0.119625,-0.12181900000000001,-0.23399,19.4716,1.127,0.12316600000000001
3,23,2,1,2,0,1,0,0.039999999999999994,3.966657323232327e-09,,,,,,,1,,-0.0022893173441838775,0.0025524499586858755,-0.059630680903354945,46,47,0.1,,,0.0001401689298628721,0.0007317266761669104,,0.00602346,0.153176,0.117827,-0.119095,-0.235673,19.4772,1.13258,0.12185399999999999
3,24,4,2,2,5,7,2,0.0125,1.5866629292929298e-08,,,,,,,2,,0.0020225424859373685,-2.476900181542729e-19,-0.008530536869268817,5,14,0.2,,,264.152692956853,0.014780100178152004,,0.00481929,0.210587,0.16199000000000002,-0.164757,-0.163955,-8.85927e-05,1.13315,0.17036400000000002
3,25,4,2,2,5,7,2,0.015000000000000001,1.5866629292929298e-08,,,,,,,2,,0.004045084971874737,-4.953800363085458e-19,-0.007061073738537633,14,33,0.2,,,264.152692956853,0.014780100178152004,,0.0156614,0.211887,0.16299,-0.164757,-0.163822,-2.6315300000000002e-05,1.1332200000000001,0.168889
3,26,4,2,2,5,7,2,0.0175,1.5866629292929298e-08,,,,,,,2,,0.006067627457812106,-7.430700544628187e-19,-0.00559161060780645,33,34,0.2,,,277.9068852157845,0.014780100178151998,,0.037005199999999995,0.214381,0.164909,-0.164757,-0.16369,-2.03525e-05,1.1332200000000001,0.167008
3,27,4,2,2,5,7,2,0.02,1.586662929292929e-08,,,,,,,2,,0.008090169943749474,-9.907600726170917e-19,-0.004122147477075266,34,35,0.2,,,344.472273678983,0.014780100178152015,,0.0801985,0.21935300000000002,0.168733,-0.164757,-0.16355999999999998,-1.1022899999999999e-05,1.13323,0.16458699999999998
3,28,4,2,2,5,7,2,0.0225,1.586662929292929e-08,,,,,,,2,,0.010112712429686843,-1.2384500907713653e-18,-0.0026526843463440847,35,36,0.2,,,384.4189430403212,0.006392742880194231,,0.172625,0.229879,0.17683,-0.164757,-0.163435,0.000237604,1.1334799999999998,0.161439
3,29,3,1,2,4,2,0,0.0125,3.9666573232323245e-09,,,,,,,1,,0.0,0.0,-0.0075,9,15,0.1,,,299.23881110632954,0.014780100178151998,,-0.000778963,0.20994899999999997,0.161499,-0.164757,-0.163955,-6.78914e-05,1.09028,0.15065599999999998
3,30,3,1,2,4,2,0,0.015,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.005,15,37,0.1,,,377.03023994357915,0.014780100178151998,,0.00480159,0.21064899999999998,0.16203800000000002,-0.164757,-0.163822,-1.6223900000000002e-05,1.09033,0.14916600000000002
3,31,3,1,2,4,2,0,0.017499999999999998,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0025,37,38,0.1,,,510.23047748787116,0.014780100178151998,,0.0156316,0.211948,0.163037,-0.164757,-0.16369,-8.948689999999999e-06,1.0903399999999999,0.147233
3,32,3,1,2,4,2,0,0.019999999999999997,3.966657323232323e-09,,,,,,,1,,0.0,0.0,0.0,38,39,0.1,,,713.7763597511242,0.011884920902273742,,0.03695759999999999,0.21444000000000002,0.164954,-0.164757,-0.16355799999999998,0.000100611,1.09045,0.14469400000000002
3,33,2,6,2,1,3,1,0.014999999999999996,2.2312447443181825e-09,,,,,,,2,,-0.004228918047675627,-0.0018158558648458134,-0.03206619392607388,19,40,0.075,,,817.5557556665324,0.007937819684886079,,5.96281e-06,0.19158599999999998,0.147374,-0.181886,-0.219065,3.66766e-05,1.1813,0.149974
