x1 y1 z1 x2 y2 z2 radius R G B time type organ 
7.7432 0.5457 -30.3052 7.8131 0.5214 -30.5440 0.2000 1.0000 0.0000 0.0000 7.4182 1.0000 2.0000 
7.8131 0.5214 -30.5440 7.8831 0.5093 -30.7837 0.2000 1.0000 0.0000 0.0000 7.4855 1.0000 2.0000 
7.8831 0.5093 -30.7837 7.8831 0.5093 -30.7837 0.2000 1.0000 0.0000 0.0000 7.4855 1.0000 2.0000 
7.8831 0.5093 -30.7837 7.9587 0.4833 -31.0206 0.2000 1.0000 0.0000 0.0000 7.5530 1.0000 2.0000 
7.9587 0.4833 -31.0206 7.9961 0.4644 -31.2670 0.2000 1.0000 0.0000 0.0000 7.6206 1.0000 2.0000 
7.9961 0.4644 -31.2670 7.9961 0.4644 -31.2670 0.2000 1.0000 0.0000 0.0000 7.6206 1.0000 2.0000 
7.9961 0.4644 -31.2670 8.0334 0.4453 -31.5135 0.2000 1.0000 0.0000 0.0000 7.6884 1.0000 2.0000 
8.0334 0.4453 -31.5135 8.0832 0.4196 -31.7571 0.2000 1.0000 0.0000 0.0000 7.7563 1.0000 2.0000 
8.0832 0.4196 -31.7571 8.1178 0.3759 -32.0009 0.2000 1.0000 0.0000 0.0000 7.8243 1.0000 2.0000 
8.1178 0.3759 -32.0009 8.1598 0.3342 -32.2437 0.2000 1.0000 0.0000 0.0000 7.8924 1.0000 2.0000 
8.1598 0.3342 -32.2437 8.1598 0.3342 -32.2438 0.2000 1.0000 0.0000 0.0000 7.8924 1.0000 2.0000 
8.1598 0.3342 -32.2438 8.2132 0.3014 -32.4858 0.2000 1.0000 0.0000 0.0000 7.9607 1.0000 2.0000 
8.2132 0.3014 -32.4858 8.2285 0.2715 -32.7335 0.2000 1.0000 0.0000 0.0000 8.0291 1.0000 2.0000 
8.2285 0.2715 -32.7335 8.2425 0.2343 -32.9803 0.2000 1.0000 0.0000 0.0000 8.0977 1.0000 2.0000 
8.2425 0.2343 -32.9803 8.2546 0.1720 -33.2221 0.2000 1.0000 0.0000 0.0000 8.1663 1.0000 2.0000 
8.2546 0.1720 -33.2221 8.2599 0.0956 -33.4601 0.2000 1.0000 0.0000 0.0000 8.2352 1.0000 2.0000 
8.2599 0.0956 -33.4601 8.2663 0.0263 -33.7002 0.2000 1.0000 0.0000 0.0000 8.3041 1.0000 2.0000 
8.2663 0.0263 -33.7002 8.2663 0.0263 -33.7002 0.2000 1.0000 0.0000 0.0000 8.3041 1.0000 2.0000 
8.2663 0.0263 -33.7002 8.2614 -0.0564 -33.9361 0.2000 1.0000 0.0000 0.0000 8.3732 1.0000 2.0000 
8.2614 -0.0564 -33.9361 8.2808 -0.1603 -34.1626 0.2000 1.0000 0.0000 0.0000 8.4425 1.0000 2.0000 
8.2808 -0.1603 -34.1626 8.3236 -0.2694 -34.3835 0.2000 1.0000 0.0000 0.0000 8.5119 1.0000 2.0000 
8.3236 -0.2694 -34.3835 8.3795 -0.3885 -34.5961 0.2000 1.0000 0.0000 0.0000 8.5814 1.0000 2.0000 
8.3795 -0.3885 -34.5961 8.3795 -0.3885 -34.5961 0.2000 1.0000 0.0000 0.0000 8.5814 1.0000 2.0000 
8.3795 -0.3885 -34.5961 8.4121 -0.5368 -34.7946 0.2000 1.0000 0.0000 0.0000 8.6510 1.0000 2.0000 
8.4121 -0.5368 -34.7946 8.4087 -0.6432 -35.0209 0.2000 1.0000 0.0000 0.0000 8.7208 1.0000 2.0000 
8.4087 -0.6432 -35.0209 8.4044 -0.7400 -35.2513 0.2000 1.0000 0.0000 0.0000 8.7908 1.0000 2.0000 
8.4044 -0.7400 -35.2513 8.4006 -0.8349 -35.4826 0.2000 1.0000 0.0000 0.0000 8.8609 1.0000 2.0000 
8.4006 -0.8349 -35.4826 8.4006 -0.8349 -35.4826 0.2000 1.0000 0.0000 0.0000 8.8609 1.0000 2.0000 
8.4006 -0.8349 -35.4826 8.3642 -0.8827 -35.7253 0.2000 1.0000 0.0000 0.0000 8.9311 1.0000 2.0000 
8.3642 -0.8827 -35.7253 8.3218 -0.8923 -35.9714 0.2000 1.0000 0.0000 0.0000 9.0014 1.0000 2.0000 
8.3218 -0.8923 -35.9714 8.2883 -0.8619 -36.2173 0.2000 1.0000 0.0000 0.0000 9.0720 1.0000 2.0000 
8.2883 -0.8619 -36.2173 8.2523 -0.8323 -36.4629 0.2000 1.0000 0.0000 0.0000 9.1426 1.0000 2.0000 
8.2523 -0.8323 -36.4629 8.2125 -0.8279 -36.7097 0.2000 1.0000 0.0000 0.0000 9.2134 1.0000 2.0000 
8.2125 -0.8279 -36.7097 8.1628 -0.8397 -36.9544 0.2000 1.0000 0.0000 0.0000 9.2844 1.0000 2.0000 
8.1628 -0.8397 -36.9544 8.1628 -0.8397 -36.9544 0.2000 1.0000 0.0000 0.0000 9.2844 1.0000 2.0000 
8.1628 -0.8397 -36.9544 8.1420 -0.8330 -37.2035 0.2000 1.0000 0.0000 0.0000 9.3555 1.0000 2.0000 
8.1420 -0.8330 -37.2035 8.1001 -0.8015 -37.4479 0.2000 1.0000 0.0000 0.0000 9.4267 1.0000 2.0000 
8.1001 -0.8015 -37.4479 8.1001 -0.8015 -37.4479 0.2000 1.0000 0.0000 0.0000 9.4267 1.0000 2.0000 
8.1001 -0.8015 -37.4479 8.1015 -0.8060 -37.6979 0.2000 1.0000 0.0000 0.0000 9.4981 1.0000 2.0000 
8.1015 -0.8060 -37.6979 8.0964 -0.7782 -37.9463 0.2000 1.0000 0.0000 0.0000 9.5696 1.0000 2.0000 
8.0964 -0.7782 -37.9463 8.0964 -0.7782 -37.9463 0.2000 1.0000 0.0000 0.0000 9.5696 1.0000 2.0000 
8.0964 -0.7782 -37.9463 8.1143 -0.7389 -38.1925 0.2000 1.0000 0.0000 0.0000 9.6413 1.0000 2.0000 
8.1143 -0.7389 -38.1925 8.1568 -0.6974 -38.4354 0.2000 1.0000 0.0000 0.0000 9.7131 1.0000 2.0000 
8.1568 -0.6974 -38.4354 8.1983 -0.6551 -38.6782 0.2000 1.0000 0.0000 0.0000 9.7851 1.0000 2.0000 
8.1983 -0.6551 -38.6782 8.2351 -0.5824 -38.9146 0.2000 1.0000 0.0000 0.0000 9.8572 1.0000 2.0000 
8.2351 -0.5824 -38.9146 8.2773 -0.5130 -39.1510 0.2000 1.0000 0.0000 0.0000 9.9295 1.0000 2.0000 
8.2773 -0.5130 -39.1510 8.3094 -0.4484 -39.3833 0.2000 1.0000 0.0000 0.0000 10.0000 1.0000 2.0000 
1.7074 0.4882 -3.8666 1.8128 0.2719 -3.9343 0.0200 1.0000 1.0000 1.0000 2.9166 3.0000 2.0000 
1.8128 0.2719 -3.9343 1.8825 0.0433 -4.0077 0.0200 1.0000 1.0000 1.0000 3.6210 3.0000 2.0000 
1.8825 0.0433 -4.0077 1.9366 -0.1939 -4.0652 0.0200 1.0000 1.0000 1.0000 4.3582 3.0000 2.0000 
1.9366 -0.1939 -4.0652 2.0400 -0.4207 -4.0463 0.0200 1.0000 1.0000 1.0000 5.1313 3.0000 2.0000 
2.0400 -0.4207 -4.0463 2.1393 -0.6500 -4.0386 0.0200 1.0000 1.0000 1.0000 5.9440 3.0000 2.0000 
2.1393 -0.6500 -4.0386 2.1914 -0.8942 -4.0515 0.0200 1.0000 1.0000 1.0000 6.8005 3.0000 2.0000 
2.1914 -0.8942 -4.0515 2.3140 -1.1121 -4.0506 0.0200 1.0000 1.0000 1.0000 7.7058 3.0000 2.0000 
2.3140 -1.1121 -4.0506 2.4346 -1.3311 -4.0509 0.0200 1.0000 1.0000 1.0000 8.6660 3.0000 2.0000 
2.4346 -1.3311 -4.0509 2.5533 -1.5505 -4.0675 0.0200 1.0000 1.0000 1.0000 9.6879 3.0000 2.0000 
2.5533 -1.5505 -4.0675 2.5881 -1.6143 -4.0760 0.0200 1.0000 1.0000 1.0000 10.0000 3.0000 2.0000 
2.0637 0.6027 -4.1979 2.2621 0.4609 -4.1428 0.0200 1.0000 1.0000 1.0000 2.9913 3.0000 2.0000 
